nome,genero,blood_status,profissao,casa,patrono,elemento_preferido,animal_preferido,cor,coragem,ambicao,inteligencia,lealdade,determinacao,justica,criatividade,coragem_moral,cautela,lealdade_a_amigos,competitividade,individualismo,cooperacao,fama_reconhecimento,pertencimento_comunidade,pensamento_analitico,intuicao,estrategia,impulsividade,autocontrole,empatia,etica,pragmatismo,lideranca,leitura_de_pessoas,persistencia,humildade,orgulho,busca_por_proposito_pessoal,identidade_forte
Lewis Chambers-Robertson,Feminino,Puro-Sangue,Curandeiro(a),Gryffindor,Fênix,Ar,Hipogrifo,Vermelho,8,5,7,4,9,1,1,7,3,9,7,3,7,1,3,9,9,3,9,8,3,7,4,8,9,9,10,1,5,6
Damien Horton,Não-Binário,Mestiço,Medibruxo(a),Slytherin,Cisne,Água,Testrálio,Verde,10,9,1,4,9,4,3,9,4,7,9,8,5,2,1,8,1,8,8,10,3,1,10,10,8,4,1,8,3,1
Lewis Black,Não-Binário,Mestiço,Jogador(a) de Quadribol,Hufflepuff,Fênix,Terra,Aranha,Preto,3,4,8,9,10,10,4,2,4,9,5,2,9,1,9,6,9,6,10,3,10,9,1,4,5,10,8,4,10,1
Amanda Hill,Masculino,Puro-Sangue,Funcionário(a) do Ministério,Slytherin,Lobo,Água,Coruja,Verde,1,9,9,3,9,3,4,5,6,10,8,10,6,9,9,10,8,7,9,6,3,3,8,6,9,4,1,9,5,3
Dr Francis Cole,Feminino,Puro-Sangue,Professor(a),Ravenclaw,Urso,Ar,Serpente,Azul,7,7,8,4,4,10,9,9,6,3,3,6,5,3,4,9,6,5,1,9,2,3,6,3,5,1,8,5,10,2
Max Wright,Feminino,Nascido-Trouxa,Pocionista,Gryffindor,Salmão,Fogo,Rato,Dourado,8,5,7,9,9,1,4,9,4,8,6,3,3,4,5,7,7,2,9,8,3,5,2,9,6,4,9,9,8,5
Miss Amanda Smith,Não-Binário,Puro-Sangue,Tratador(a) de Criaturas Mágicas,Gryffindor,Fênix,Fogo,Mini-pufe,Vermelho,8,4,7,1,9,5,10,8,2,8,7,2,6,1,6,7,4,3,6,7,10,5,1,9,1,8,6,10,6,3
Ms Abigail McLean,Masculino,Mestiço,Fabricante de Varinhas,Hufflepuff,Lobo,Fogo,Sapo,Amarelo,6,1,2,9,3,10,6,10,3,9,4,3,10,10,10,4,8,3,10,9,10,8,4,3,9,6,8,6,10,1
Gerald Warren,Não-Binário,Nascido-Trouxa,Fabricante de Varinhas,Slytherin,Cão,Água,Fênix,Prata,5,9,10,4,9,4,2,2,10,4,10,10,5,5,4,4,2,8,1,10,3,10,9,8,1,9,3,10,5,2
Nicola Grant,Masculino,Mestiço,Pocionista,Hufflepuff,Texugo,Terra,Hipogrifo,Amarelo,3,4,2,9,10,10,6,1,1,9,5,2,10,6,7,1,4,6,9,2,9,7,2,5,8,10,7,4,9,9
Dr Lindsey Marshall,Masculino,Mestiço,Herbologista,Slytherin,Águia,Água,Serpente,Prata,2,8,7,6,10,5,7,1,6,4,8,10,6,7,1,3,1,8,1,6,3,4,10,8,8,6,3,8,1,10
